Link,Node_Start,Longitude_Start,Latitude_Start,Node_End,Longitude_End,Latitude_End,Length
2221,1028,104.0316515,30.65804403,1480,104.0350137,30.65903884,340.4914895
2222,1028,104.0316515,30.65804403,1426,104.0314734,30.66097788,325.6090627
2223,1029,104.1263697,30.67396483,1589,104.1219214,30.67305942,437.7910577
2224,1030,104.0400367,30.60236365,1166,104.0318858,30.59596115,1055.552618
2225,1030,104.0400367,30.60236365,1220,104.0463133,30.6009013,623.1866319
2226,1030,104.0400367,30.60236365,1196,104.0385742,30.60321236,168.8362632
2227,1032,104.0335529,30.694869,1088,104.0361937,30.69651471,311.8389865
2228,1032,104.0335529,30.694869,1482,104.0289982,30.69883277,619.1076603
2229,1033,104.1059183,30.7017592,1397,104.1104171,30.70159507,431.2349607
2230,1034,103.9738584,30.67146973,1097,103.9777133,30.67160147,369.6031152
2231,1035,104.0637964,30.64608944,1812,104.0639621,30.63984577,692.1685752
2232,1035,104.0637964,30.64608944,1085,104.0695714,30.64525589,561.0544808
2233,1035,104.0637964,30.64608944,1615,104.0605402,30.64747371,347.7028268
2234,1035,104.0637964,30.64608944,1468,104.0637469,30.64866629,285.6313402
2235,1036,104.0909857,30.64806866,1694,104.0875368,30.6431534,637.1693347
2236,1036,104.0909857,30.64806866,1717,104.0932502,30.64666933,266.72183
2237,1036,104.0909857,30.64806866,1201,104.0888813,30.64903065,228.0972339
2238,1039,104.0115999,30.69535576,1168,104.01322,30.69418719,202.1136228
2239,1039,104.0115999,30.69535576,1563,104.0099861,30.69678059,220.9728617
2240,1040,104.1352785,30.71367053,1298,104.1329977,30.71471837,247.3664703
2241,1042,104.0657402,30.66947157,1654,104.0629728,30.66960555,265.5468273
2242,1042,104.0657402,30.66947157,1756,104.066047,30.67201962,283.9259829
2243,1043,104.0751968,30.64830309,1475,104.0783778,30.64675931,349.5513005
2244,1043,104.0751968,30.64830309,1845,104.0759907,30.64984915,187.4754102
2245,1046,104.0585759,30.68835846,1488,104.0577429,30.68833203,79.84547441
2246,1046,104.0585759,30.68835846,1560,104.060594,30.68831577,193.3663786
2247,1047,104.0890159,30.7055667,1323,104.0901336,30.7062799,133.0660216
2248,1049,104.0563422,30.64710146,1736,104.0541861,30.64382805,417.5015831
2249,1450,104.0595905,30.64554588,1049,104.0563422,30.64710146,355.8332463
2250,1050,104.0887253,30.65173133,1565,104.0886263,30.65131513,47.0931073
2251,1050,104.0887253,30.65173133,1487,104.0879327,30.65204871,83.70083354
2252,1051,104.0362486,30.61577708,1072,104.0377205,30.61803113,286.9049216
2253,1052,104.089617,30.60737573,1251,104.0893772,30.60548711,210.5720139
2254,1053,104.0419706,30.71987075,1347,104.0345205,30.71425947,946.4150827
2255,1053,104.0419706,30.71987075,1485,104.0429071,30.71895045,135.8142701
2256,1056,104.0026792,30.6762614,1546,104.0048806,30.67522349,240.2178584
2257,1056,104.0026792,30.6762614,1606,104.0001306,30.67735769,272.7143568
2258,1057,104.0885456,30.66809939,1879,104.0867203,30.66501226,384.2466743
2259,1057,104.0885456,30.66809939,1755,104.0854869,30.66959784,336.8158621
2260,1057,104.0885456,30.66809939,1861,104.08965,30.66997767,233.5138767
2261,1059,104.071513,30.61882626,1094,104.0715609,30.61755497,140.9704935
2262,1059,104.071513,30.61882626,1203,104.0746665,30.6189463,302.557852
2263,1060,104.0180424,30.69090113,1695,104.0165822,30.68915906,238.4113748
2264,1060,104.0180424,30.69090113,1360,104.0202459,30.68950455,261.7396422
2265,1060,104.0180424,30.69090113,1168,104.01322,30.69418719,588.2107767
2266,1061,104.1083185,30.67849451,1177,104.1093624,30.67625125,267.9780642
